-4.417399,5.099191
-1.977360,2.318632
-1.974979,5.258009
-2.920029,2.449600
-4.534663,5.270510
-0.659594,0.900444
-1.413438,5.286115
-0.000000,-0.000000
-0.047101,5.300835
-0.000016,-0.000000
-0.047101,5.315555
-2.351001,2.782593
-3.853957,6.128844
-2.722897,1.759443
-3.906272,6.130423
-2.904802,2.993121
-2.895400,6.990725
-2.626194,2.404951
-2.649598,7.076316
-1.315279,0.849563
-0.946450,6.998904
-2.483339,1.784307
-2.292402,7.287172
-1.663620,1.503595
-2.501563,5.640117
-2.371752,1.872547
-3.583012,6.157821
-2.113576,1.967555
-2.053928,6.378008
-1.819692,2.091559
-2.419405,8.364816
-1.721832,1.747727
-2.478452,8.808760
-1.652460,1.709093
-3.159930,8.839003
-1.836350,1.903816
-3.520654,9.054078
-1.897127,1.898760
-3.303608,10.735225
-2.095736,2.806195
-4.872397,13.646455
-3.649915,1.813840
-6.811676,16.181114
